source,content
Milliyet,"HABER MERKEZİ  - MİT, PKK/YPG’nin sözde Tabka sorumlularından El Dahham’ı özel ekiple takibe aldı. Faaliyetleri adım adım izlenen Dahham, Türkiye sınırına 178 kilometre uzaklıktaki Tabka’da düzenlenen nokta operasyon ile etkisiz hale getirildi. El Dahham, Fırat Kalkanı ve Barış Pınarı harekat alanlarında konuşlu TSK’nın üs bölgelerine saldırı girişimlerinin organizasyonunu yürütüyordu. MİT’in son operasyonuyla bölgede son bir ayda etkisiz hale getirilen sorumlu düzeyde terörist sayısı 10’a yükseldi. Operasyonlardan bazıları şöyle: 30 KASIM: MİT, “Harun Egid” kod adlı PKK/KCK’lı terörist Mehmet Akin’i Gara’da etkisiz hale getirdi. 11 ARALIK: MİT, PKK’nın sözde cephane sorumlusu “Ruken Zilan” kod adlı terörist Zeynep Sevim’in, Duhok kırsalında etkisiz hale getirdi. 14 ARALIK: MİT, PKK/KCK’nın üst düzey sorumlularından Sebahat Ormanlı’yı, Süleymaniye’de etkisiz hale getirdi. 17 ARALIK: MİT, terör örgütü PKK/YPG’nin üyesi ve sözde saha sorumlularından Şirvan Hasan’ı, Suriye Deyrizor’da etkisiz hale getirdi. 24 ARALIK: MİT, terör örgütü PKK/YPG’nin sözde Aynularab (Kobani) sorumlusu “Bahoz Afrin” kod adlı teröristi Suriye’de etkisiz hale getirdi. 25 ARALIK: MİT, terör örgütü PKK/KCK’nın sözde sorumlularından, “Ali Xebat” kod adlı Erdinç Bolcal’ı Süleymaniye’de etkisiz hale getirdi. 26 ARALIK: MİT, PKK/KCK’nın sözde “Süleymaniye sorumlusu” “Bahoz Zagros” kod adlı Mehmet Şefa Akman’ı, Süleymaniye’de etkisiz hale getirdi. 27 ARALIK: MİT, PKK/KCK-HPJ’nin sözde yöneticilerinden “Aryen Are” kod adlı Zeynep Eyveri’yi Süleymaniye’de etkisiz hale getirdi. 28 ARALIK: MİT, PKK/YPG’nin sözde Asayiş Sorumlusu Eymen Coli’yi, Kamışlı’da etkisiz hale getirdi. "
Milliyet,"FERİT ZENGİN Haber Merkezi - Şebekenin 4 ilde kurdukları ecza depoları ile yurt dışından getirdikleri orjinal kanser ve yeşil reçeteli nöropatik ilaçların içini boşaltıp el altından iç piyasaya sattığı, orjinal kutularına ise sahte ilaç koyarak, İran, Irak ve Suriye gibi Ortadoğu ülkeleri ile Ukrayna’ya gönderdiği tespit edildi. ÇETE LİDERİ ECZACI KALFASI Benzer suçlardan 143 ayrı suç kaydı bulunan eski eczacı kalfası Davut Tekiner’in yönettiği şebekenin, 2020 ile 2022 yıları arasında İran’a sattığı regapen, symra ve cellcept gibi sahte kanser ve nöropatik ilaçların ölüme sebep olduğu yönünde haberler İran basınına yansımıştı. İran devletinin şikayetçi olması ve İran Adli makamlarıyla irtibata geçilmesi üzerine haber içerikleriyle uyumlu belgeleri temin eden savcılığın talimatıyla şebekenin gümrüklerde bekletilen ilaçlarına el konularak laboratuvar ortamında analizi yapıldı. Yapılan analizlerde ilaçların tamamının sahte olduğu belirlendi. DEVLET DE DOLANDIRILDI Şebekenin “naylon fatura” yöntemiyle devleti de 4 milyon lira zarara uğrattığı, rakiplerini sindirmek için çok sayıda ecza deposu ve eczaneyi kurşunlattığı tespit edildi. Şüphelilerin  adresleri ile 10 ayrı ecza deposunda yapılan aramalarda yaklaşık 10 bin tablet yasadışı ilaç, bir ruhsatsız silah ile 30 adet dijital materyal ele geçirildi. Şebekenin sadece İran’da çoğunluğu çocuk 450 ölüme sebbebiyet verdiği iddia ediliyor. Emniyette işlemleri tamamlanan şüpheliler adliyeye sevk edildi. "
Milliyet,"HABER MERKEZİ - 3 otobüs ve bir tırın da bulunduğu 7 aracın karıştığı kazaya ilişkin gözaltına alınan otobüs sürücüleri H.Ö., M.D., F.Ç., S.S., H.A., E.A. ile tırın ikinci şoförü O.K.’nin Adapazarı Jandarma Komutanlığı’ndaki işlemleri tamamlandı. Sağlık kontrolünden geçirilen şüpheliler adliyeye sevk edildi. Öte yandan kazada hayatını kaybedenlerden Kenan Cin (46) ve Erdoğan Mandal (42), dün memleketleri Giresun’un Görele ilçesinde toprağa verildi. Cin ve Mandal’ın akrabalarının cenazesinden dönerken kaza geçirip yayaşamını yitirdiği öğrenildi.Soma’da sis kazası Manisa’nın Soma ilçesinde yoğun sis nedeniyle sürücüsünün direksiyon hakimiyetini kaybettiği minibüs yoldan çıkıp, takla attı. Kaza sonrası minibüste bulunan 16 kişi hafif şekilde yaralandı. "
Milliyet,"FERİT ZENGİN Haber Merkezi - İçişleri Bakanı Ali Yerlikaya, sosyal medya hesabından kaçak/sahte içki ticaretinin önlenmesine yönelik yurt genelinde ‘Çengel-5’ kod adlı operasyonlar düzenlendiğini belirtti. Bakan Yerlikaya’nın açıkladığı operasyonlarda 15 bin litre etil alkol, 188 bin litre kaçak/sahte içki, 6 bin 100 şişe kaçak/sahte alkollü içki, 1300 boş şişe ve 7 bin 700 adet bandrol, 2 bin 100 alkol aroması ve 8 bin 700 etiket ele geçirildi. 12 kaçak içki imalathanesi deşifre edilirken 220 şüpheli hakkında adli işlem başlatıldı. Yakalamalarla devletin 35 milyon lira vergi kaybının önlendiği belirlendi. Öte yandan operasyonların İstanbul ayağında çökertilen bir şebekenin ürettikleri sahte içkileri turizm beldelerine yolcu otobüsleriyle taşıdıkları öğrenildi. "
Milliyet,"DİDEM SEYMEN - Beslenme ve Diyet Uzmanı Nur Ecem Baydı Ozman ise uyarıyor: “Yılbaşı sofralarında ölçüyü fazla kaçırmak mide ve bağırsak sorunlarına yol açarak gecenin hastanede acil serviste sonuçlanmasına neden olabildiği gibi, özellikle kalp damar hastaları ve diyabet hastalarında hayati risk oluşturabiliyor.” Sağlıklı bir yılbaşı sofrası için dikkat edilmesi gerekenleri ise şöyle özetliyor:1) Sebze çeşitliliğini artırın: Yemeğe salata, sebze gibi seçeneklerle başlangıç yaparak iştahınızı kontrol altında tutabilirsiniz.2) Proteine mutlaka yer verin: Proteinler sizi daha uzun süre tok tutar. Ana yemekte kırmızı et yerine hindi-balık gibi protein türevlerine ve meze olarak bakliyat salatası gibi bitkisel proteinlere yer verin.3) Hafif mezeler seçin: Kızartarak yaptığınız ya da yoğun soslu mezeler yerine fırınlama yöntemini tercih edin.4) Şeker ilavesiz, doğal içecekler için: Yoğun kalorili, şeker ilaveli hazır içecekler hem kalorisi hem de doğal olmayan içeriği ile sağlığınızı tehdit edebilir.5) Meyveli ya da sütlü tatlıları tercih edin: Yoğun şerbetli, hamurlu bir tatlı mide bağırsak sorunları, hatta uyku problemlerine dahi yol açabilir.6) Kuruyemişleri kontrollü tüketin: Yoğun yağ içeriği ve kaloriye sahip bu besinlerin fazlası gaz problemlerine yol açabilir. Yaklaşık bir avuç kuruyemişi tabağınıza alarak tüketmeye çalışın.7) Sofraya aç oturmayın, yavaş yiyin: Mümkünse yemekten 2-3 saat kadar önce bir su bardağı kefir ya da 8-10 çiğ badem yanında sütlü bir kahve ile ara öğün yapın.1 OCAK TAVSİYELERİDiyetisyen Aslı Ortakçı, yılbaşı gecesinin ertesi günü için şu önerilerde bulundu:- Sağlam bir kahvaltı, brunch şeklinde öğlene yaklaşsa da mutlaka yapılmalıdır.- Güne ara öğünle devam edip akşam yemeğinde de hafif tercihler yapın.- Midenizi rahatlatmak için rezene ve anason, bedeninizi dinlendirmek için de melisa, papatya gibi bitki çayları tercih edebilirsiniz.- Vücudu toksinlerden arındırmak için gün içerisinde su tüketimini mutlaka artırın.- Gün içinde hareket etmeye çalışın."
Milliyet,"FERİT ZENGİN Haber Merkezi  - İlk suç duyurusunda bulunan iş adamı Bülent Çeviker’in ardından Mert Zeydanlı’nın da yaptığı şikayetle hakkında istenen ceza 256 yıla çıkan Erzan, İstanbul 41. Ağır Ceza Mahkemesi’nde tutuklu yargılanıyor. Erzan, duruşmada verdiği ifadesinde kendisini tehdit edenlerin adlarını ilk kez söyledi. Erzan, hâkimin Fatih Terim sorusuna ise önce “Tamam” ardından “Yoruldum” diyerek yanıt vermekten kaçındı. Mahkeme başkanının “Sizi kimler tehdit etti? Kimler tehdit etti de para alıp vermek zorunda kaldınız?” sorusuna Erzan “Beni Ayhan Akman tehdit etti. Fırat etti. Semih etti, Mimar Çetin’in eniştesi vardı o etti. Süleyman Aslan etti. Birçok insan etti. Tanin etti, Merve...” şeklinde cevap verdi. “Bu işle ilgili ilk parayı kimden aldınız?” sorusuna Erzan’ın verdiği yanıt üzerine Fatih Terim diyaloğu da yaşandı. Erzan, “Ben Florya’dayken hiçbir sorun yoktu, hiç kimseye benim borcum harcım yoktu, 2020 yılına kadar. Verdiğim sözü tutuyordum. Birkaç kişinin parasını çoğaltmıştım onlara artı fazladan vermiştim. Sonra 2020 yılında yine beni tanıyan bilen, bana güvenen bir insanın parasıyla ilgili çoğaltmak üzere, yani bir fon adı altında değil ama yani ne istiyorsan onu yap dedi bana teslim etti” şeklinde cevap verdi. Mahkeme başkanının “Kim bu insan?” şeklindeki sorusuna “Galatasaray camiasından birisi” diye cevap veren Erzan, mahkeme başkanının diretmesi üzerine Erzan, “Sonra beyanda bulunabilir miyim?” dedi. Erzan’a, “İsmini söylemek istemiyor musun?” diyen mahkeme başkanının sorusu üzerine araya giren Erzan’ın avukatı “Yazılı beyanda bulunacağız” dedi. "
Milliyet,"HABER MERKEZİ  - MİT, PKK/YPG’nin sözde Tabka sorumlularından El Dahham’ı özel ekiple takibe aldı. Faaliyetleri adım adım izlenen Dahham, Türkiye sınırına 178 kilometre uzaklıktaki Tabka’da düzenlenen nokta operasyon ile etkisiz hale getirildi. El Dahham, Fırat Kalkanı ve Barış Pınarı harekat alanlarında konuşlu TSK’nın üs bölgelerine saldırı girişimlerinin organizasyonunu yürütüyordu. MİT’in son operasyonuyla bölgede son bir ayda etkisiz hale getirilen sorumlu düzeyde terörist sayısı 10’a yükseldi. Operasyonlardan bazıları şöyle: 30 KASIM: MİT, “Harun Egid” kod adlı PKK/KCK’lı terörist Mehmet Akin’i Gara’da etkisiz hale getirdi. 11 ARALIK: MİT, PKK’nın sözde cephane sorumlusu “Ruken Zilan” kod adlı terörist Zeynep Sevim’in, Duhok kırsalında etkisiz hale getirdi. 14 ARALIK: MİT, PKK/KCK’nın üst düzey sorumlularından Sebahat Ormanlı’yı, Süleymaniye’de etkisiz hale getirdi. 17 ARALIK: MİT, terör örgütü PKK/YPG’nin üyesi ve sözde saha sorumlularından Şirvan Hasan’ı, Suriye Deyrizor’da etkisiz hale getirdi. 24 ARALIK: MİT, terör örgütü PKK/YPG’nin sözde Aynularab (Kobani) sorumlusu “Bahoz Afrin” kod adlı teröristi Suriye’de etkisiz hale getirdi. 25 ARALIK: MİT, terör örgütü PKK/KCK’nın sözde sorumlularından, “Ali Xebat” kod adlı Erdinç Bolcal’ı Süleymaniye’de etkisiz hale getirdi. 26 ARALIK: MİT, PKK/KCK’nın sözde “Süleymaniye sorumlusu” “Bahoz Zagros” kod adlı Mehmet Şefa Akman’ı, Süleymaniye’de etkisiz hale getirdi. 27 ARALIK: MİT, PKK/KCK-HPJ’nin sözde yöneticilerinden “Aryen Are” kod adlı Zeynep Eyveri’yi Süleymaniye’de etkisiz hale getirdi. 28 ARALIK: MİT, PKK/YPG’nin sözde Asayiş Sorumlusu Eymen Coli’yi, Kamışlı’da etkisiz hale getirdi. "
Milliyet,"FERİT ZENGİN Haber Merkezi - Şebekenin 4 ilde kurdukları ecza depoları ile yurt dışından getirdikleri orjinal kanser ve yeşil reçeteli nöropatik ilaçların içini boşaltıp el altından iç piyasaya sattığı, orjinal kutularına ise sahte ilaç koyarak, İran, Irak ve Suriye gibi Ortadoğu ülkeleri ile Ukrayna’ya gönderdiği tespit edildi. ÇETE LİDERİ ECZACI KALFASI Benzer suçlardan 143 ayrı suç kaydı bulunan eski eczacı kalfası Davut Tekiner’in yönettiği şebekenin, 2020 ile 2022 yıları arasında İran’a sattığı regapen, symra ve cellcept gibi sahte kanser ve nöropatik ilaçların ölüme sebep olduğu yönünde haberler İran basınına yansımıştı. İran devletinin şikayetçi olması ve İran Adli makamlarıyla irtibata geçilmesi üzerine haber içerikleriyle uyumlu belgeleri temin eden savcılığın talimatıyla şebekenin gümrüklerde bekletilen ilaçlarına el konularak laboratuvar ortamında analizi yapıldı. Yapılan analizlerde ilaçların tamamının sahte olduğu belirlendi. DEVLET DE DOLANDIRILDI Şebekenin “naylon fatura” yöntemiyle devleti de 4 milyon lira zarara uğrattığı, rakiplerini sindirmek için çok sayıda ecza deposu ve eczaneyi kurşunlattığı tespit edildi. Şüphelilerin  adresleri ile 10 ayrı ecza deposunda yapılan aramalarda yaklaşık 10 bin tablet yasadışı ilaç, bir ruhsatsız silah ile 30 adet dijital materyal ele geçirildi. Şebekenin sadece İran’da çoğunluğu çocuk 450 ölüme sebbebiyet verdiği iddia ediliyor. Emniyette işlemleri tamamlanan şüpheliler adliyeye sevk edildi. "
Milliyet,"HABER MERKEZİ - 3 otobüs ve bir tırın da bulunduğu 7 aracın karıştığı kazaya ilişkin gözaltına alınan otobüs sürücüleri H.Ö., M.D., F.Ç., S.S., H.A., E.A. ile tırın ikinci şoförü O.K.’nin Adapazarı Jandarma Komutanlığı’ndaki işlemleri tamamlandı. Sağlık kontrolünden geçirilen şüpheliler adliyeye sevk edildi. Öte yandan kazada hayatını kaybedenlerden Kenan Cin (46) ve Erdoğan Mandal (42), dün memleketleri Giresun’un Görele ilçesinde toprağa verildi. Cin ve Mandal’ın akrabalarının cenazesinden dönerken kaza geçirip yayaşamını yitirdiği öğrenildi.Soma’da sis kazası Manisa’nın Soma ilçesinde yoğun sis nedeniyle sürücüsünün direksiyon hakimiyetini kaybettiği minibüs yoldan çıkıp, takla attı. Kaza sonrası minibüste bulunan 16 kişi hafif şekilde yaralandı. "
Milliyet,"FERİT ZENGİN Haber Merkezi - İçişleri Bakanı Ali Yerlikaya, sosyal medya hesabından kaçak/sahte içki ticaretinin önlenmesine yönelik yurt genelinde ‘Çengel-5’ kod adlı operasyonlar düzenlendiğini belirtti. Bakan Yerlikaya’nın açıkladığı operasyonlarda 15 bin litre etil alkol, 188 bin litre kaçak/sahte içki, 6 bin 100 şişe kaçak/sahte alkollü içki, 1300 boş şişe ve 7 bin 700 adet bandrol, 2 bin 100 alkol aroması ve 8 bin 700 etiket ele geçirildi. 12 kaçak içki imalathanesi deşifre edilirken 220 şüpheli hakkında adli işlem başlatıldı. Yakalamalarla devletin 35 milyon lira vergi kaybının önlendiği belirlendi. Öte yandan operasyonların İstanbul ayağında çökertilen bir şebekenin ürettikleri sahte içkileri turizm beldelerine yolcu otobüsleriyle taşıdıkları öğrenildi. "
